unitCode,unitName,routeName,xValue,yValue,mean_passenger_126_traffic,mean_freight_345_traffic,mean_total_traffic,std_freight_345_traffic,mean_freight_345_share,traffic_volatility,inflow_freight,outflow_freight,imbalance_ratio,abs_imbalance_ratio,mean_freight_345_share_scaled,mean_freight_345_traffic_scaled,traffic_volatility_scaled,abs_imbalance_ratio_scaled,vulnerability_score,vulnerability_grade,geometry,local_moran_i,local_p_value,lisa_quadrant,lisa_significant,lisa_cluster,cluster_color,mean_diesel_shock_index_30d,max_diesel_shock_index_30d,fuel_shock_impact_score_mean,fuel_shock_impact_score_max,fuel_shock_impact_grade,impact_grade,grade_color
500,남여주,중부내륙선,127.592805,37.250873,4538.027888446215,677.7679282868526,5215.795816733068,301.53228644373536,0.1375038308135315,0.4448901664702515,644.5517928286853,710.98406374502,0.0490081251588954,0.0490081251588954,0.3785879350162172,0.0632231485086192,0.010776237919635,0.0620723177431673,0.1471130361900114,Very High,POINT (127.592805 37.250873),0.0989859101908682,0.227,1,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.08772564650373335,0.1471130361900114,Very High,Moderate,#fee08b
501,서김제,서해안선,126.84211,35.83153,1012.875498007968,149.72709163346613,1162.6025896414342,59.607700753679,0.1370507549711458,0.3981089868465449,154.62749003984064,144.82669322709162,-0.0327288692574804,0.0327288692574804,0.3773137216827555,0.0137994858439274,0.0088922986968121,0.0414534684878913,0.1274031156949455,High,POINT (126.84211 35.83153),0.0364070524507109,0.201,1,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.07597233379435811,0.1274031156949455,High,Moderate,#fee08b
502,부안,서해안선,126.773477,35.726985,2478.973107569721,455.4820717131474,2934.4551792828684,173.46302894294422,0.1691380741148567,0.3808339333544338,473.38645418326695,437.5776892430279,-0.0393086437030947,0.0393086437030947,0.4675548823517167,0.0424175963091738,0.0081966097229142,0.0497872263850225,0.1645885108198545,Very High,POINT (126.773477 35.726985),0.0555177775257395,0.362,1,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.09814652659407756,0.1645885108198545,Very High,Moderate,#fee08b
503,줄포,서해안선,126.702323,35.598477,1110.1294820717133,98.37051792828686,1208.5,40.98247768132105,0.0940148894106702,0.4166134177640267,99.45418326693228,97.28685258964144,-0.0110161597343161,0.0110161597343161,0.2562812838783691,0.0089926038790666,0.0096374963058052,0.0139527591623006,0.0843002174208519,Moderate,POINT (126.702323 35.598477),0.0497425867237087,0.434,3,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.050269447665383986,0.0843002174208519,Moderate,Low,#9ecae1
504,선운산,서해안선,126.688662,35.51089,1940.8964143426292,327.38247011952194,2268.2788844621514,123.47679771016028,0.1605176073567532,0.3771637426557412,331.4800796812749,323.2848605577689,-0.0125162766358779,0.0125162766358779,0.4433110082444613,0.0304277064045022,0.0080488063483921,0.0158527651850517,0.1469019287013778,Very High,POINT (126.688662 35.51089),-0.0050482893558467,0.466,4,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.08759976003301813,0.1469019287013778,Very High,Moderate,#fee08b
505,고창,서해안선,126.670951,35.437381,1930.6145418326691,142.99701195219123,2073.6115537848605,50.32533232691482,0.0769991417513276,0.3519327546770018,140.78486055776892,145.20916334661354,0.015469913421421,0.015469913421421,0.2084268398360974,0.0131695626168112,0.0070327214983292,0.0195937587540918,0.0718042167863568,Low,POINT (126.670951 35.437381),-0.0442865182234547,0.375,2,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.04281790045541228,0.0718042167863568,Low,Low,#9ecae1
506,영광,서해안선,126.554466,35.303471,1640.0368525896415,249.6145418326693,1889.651394422311,89.4293631572155,0.1430166115292348,0.358269844779977,259.41035856573706,239.8187250996016,-0.0392437742655009,0.0392437742655009,0.3940918706385871,0.0231487696500248,0.0072879243961524,0.0497050645735049,0.136570789880515,High,POINT (126.554466 35.303471),0.1372083428050749,0.08,1,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.0814391514584699,0.136570789880515,High,Moderate,#fee08b
507,함평,서해안선,126.48607,35.096965,977.014940239044,231.2519920318725,1208.2669322709164,93.30476893651814,0.2035131998701922,0.4034766062627401,237.8864541832669,224.6175298804781,-0.0286893189247858,0.0286893189247858,0.5642301836571851,0.0214300683602344,0.0091084597434701,0.0363370872556452,0.1847871850050489,Very High,POINT (126.48607 35.096965),-0.3727601614442328,0.136,4,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.11019129024864455,0.1847871850050489,Very High,Moderate,#fee08b
508,무안,서해안선,126.497717,35.008119,3642.590637450199,355.5886454183267,3998.179282868526,139.65128594309854,0.0878662119392878,0.3927326919531077,353.8585657370518,357.3187250996016,0.0048653963043155,0.0048653963043155,0.2389889763125191,0.0330677531513874,0.0086757882773511,0.0061623745933706,0.0845846514133163,Moderate,POINT (126.497717 35.008119),0.095672137424097,0.321,3,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.05043905979849467,0.0845846514133163,Moderate,Low,#9ecae1
509,목포,서해안선,126.485422,34.863289,14843.72609561753,1713.0448207171314,16556.770916334663,589.801959921537,0.1078611153826446,0.3443003666854603,1726.9521912350597,1699.1374501992032,-0.0081185094223665,0.0081185094223665,0.2952218852106118,0.1601231841579669,0.0067253552622332,0.0102826764915442,0.1400051271613291,High,POINT (126.485422 34.863289),-0.066050291759499,0.302,4,False,Not significant,#d9d9d9,0.5963145671905431,1.0,0.0834870968076649,0.1400051271613291,High,Moderate,#fee08b
510,양양,동해선,128.597498,38.071824,4317.8197211155375,192.79282868525897,4510.612549800797,53.35128704051941,0.049017672952649,0.2767285868688469,181.5617529880478,204.0239043824701,0.0582546341261804,0.0582546341261804,0.1297328171193384,0.0178303605655567,0.0040041514068272,0.0737836868431171,0.0598265209554574,Low,POINT (128.597498 38.071824),0.8349031194354237,0.001,3,True,Low-Low,#4575b4,0.5963145671905431,1.0,0.03567542595006954,0.0598265209554574,Low,Low,#9ecae1
